005F;Pc
1193;Lo
1194;Lo
1195;Lo
1196;Lo
1197;Lo
1198;Lo
1199;Lo
119A;Lo
119B;Lo
119C;Lo
119D;Lo
119E;Lo
119F;Lo
11A0;Lo
11A1;Lo
11A2;Lo
11A3;Lo
11A4;Lo
11A5;Lo
11A6;Lo
11A7;Lo
11A8;Lo
11A9;Lo
11AA;Lo
11AB;Lo
11AC;Lo
11AD;Lo
11AE;Lo
11AF;Lo
11B0;Lo
11B1;Lo
11B2;Lo
11B3;Lo
11B4;Lo
11B5;Lo
11B6;Lo
11B7;Lo
11B8;Lo
11B9;Lo
11BA;Lo
11BB;Lo
11BC;Lo
11BD;Lo
11BE;Lo
11BF;Lo
11C0;Lo
11C1;Lo
11C2;Lo
11C3;Lo
11C4;Lo
11C5;Lo
11C6;Lo
11C7;Lo
11C8;Lo
11C9;Lo
11CA;Lo
11CB;Lo
11CC;Lo
11CD;Lo
11CE;Lo
11CF;Lo
11D0;Lo
11D1;Lo
11D2;Lo
11D3;Lo
11D4;Lo
11D5;Lo
11D6;Lo
11D7;Lo
11D8;Lo
11D9;Lo
11DA;Lo
11DB;Lo
11DC;Lo
11DD;Lo
11DE;Lo
11DF;Lo
11E0;Lo
11E1;Lo
11E2;Lo
11E3;Lo
11E4;Lo
11E5;Lo
11E6;Lo
11E7;Lo
11E8;Lo
11E9;Lo
11EA;Lo
11EB;Lo
11EC;Lo
11ED;Lo
11EE;Lo
11EF;Lo
11F0;Lo
11F1;Lo
11F2;Lo
11F3;Lo
11F4;Lo
11F5;Lo
11F6;Lo
11F7;Lo
11F8;Lo
11F9;Lo
11FA;Lo
11FB;Lo
11FC;Lo
11FD;Lo
11FE;Lo
11FF;Lo
1200;Lo
1201;Lo
1202;Lo
1203;Lo
1204;Lo
1205;Lo
1206;Lo
1207;Lo
1208;Lo
1209;Lo
120A;Lo
120B;Lo
120C;Lo
120D;Lo
120E;Lo
120F;Lo
1210;Lo
1211;Lo
1212;Lo
1213;Lo
1214;Lo
1215;Lo
1216;Lo
1217;Lo
1218;Lo
1219;Lo
121A;Lo
121B;Lo
121C;Lo
121D;Lo
121E;Lo
121F;Lo
1220;Lo
1221;Lo
1222;Lo
1223;Lo
1224;Lo
1225;Lo
1226;Lo
1227;Lo
1228;Lo
1229;Lo
122A;Lo
122B;Lo
122C;Lo
122D;Lo
122E;Lo
122F;Lo
1230;Lo
1231;Lo
1232;Lo
1233;Lo
1234;Lo
1235;Lo
1236;Lo
1237;Lo
1238;Lo
1239;Lo
123A;Lo
123B;Lo
123C;Lo
123D;Lo
123E;Lo
123F;Lo
1240;Lo
1241;Lo
1242;Lo
1243;Lo
1244;Lo
1245;Lo
1246;Lo
1247;Lo
1248;Lo
124A;Lo
124B;Lo
124C;Lo
124D;Lo
1250;Lo
1251;Lo
1252;Lo
1253;Lo
1254;Lo
1255;Lo
1256;Lo
1258;Lo
125A;Lo
125B;Lo
125C;Lo
125D;Lo
1260;Lo
1261;Lo
1262;Lo
1263;Lo
1264;Lo
1265;Lo
1266;Lo
1267;Lo
1268;Lo
1269;Lo
126A;Lo
126B;Lo
126C;Lo
126D;Lo
126E;Lo
126F;Lo
1270;Lo
1271;Lo
1272;Lo
1273;Lo
1274;Lo
1275;Lo
1276;Lo
